measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,7,Democratic People's Republic of Korea,3,Both,22,All ages,567,Depressive disorders,1,Number,2021,887635.4510457988,1074799.6203657538,722959.3652931851
5,Prevalence,7,Democratic People's Republic of Korea,3,Both,22,All ages,567,Depressive disorders,2,Percent,2021,0.0351067940944283,0.0425496623705764,0.0286429631223671
5,Prevalence,7,Democratic People's Republic of Korea,3,Both,22,All ages,567,Depressive disorders,3,Rate,2021,3363.24095483667,4072.40393249064,2739.2850783190597
5,Prevalence,6,China,3,Both,22,All ages,567,Depressive disorders,1,Number,2021,53114656.12085356,59334612.52792427,47435175.59726526
5,Prevalence,6,China,3,Both,22,All ages,567,Depressive disorders,2,Percent,2021,0.0389613119007773,0.0434941459969271,0.0348212024186527
5,Prevalence,6,China,3,Both,22,All ages,567,Depressive disorders,3,Rate,2021,3733.2494964655198,4170.42919074613,3334.05802365192
5,Prevalence,1,Global,3,Both,22,All ages,567,Depressive disorders,1,Number,2021,332410333.2661122,376102441.5301885,297742040.8388543
5,Prevalence,1,Global,3,Both,22,All ages,567,Depressive disorders,2,Percent,2021,0.0435904771761116,0.0493763068290703,0.0390310051506687
5,Prevalence,1,Global,3,Both,22,All ages,567,Depressive disorders,3,Rate,2021,4212.336219124551,4766.00688369846,3773.0162304477
5,Prevalence,5,East Asia,3,Both,22,All ages,567,Depressive disorders,1,Number,2021,54868504.72167362,61336154.30561821,48917566.639023975
5,Prevalence,5,East Asia,3,Both,22,All ages,567,Depressive disorders,2,Percent,2021,0.0388774434734125,0.0434357832135743,0.0347081079201269
5,Prevalence,5,East Asia,3,Both,22,All ages,567,Depressive disorders,3,Rate,2021,3725.5187108193104,4164.665898486171,3321.4557372373
5,Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,22,All ages,567,Depressive disorders,1,Number,2021,77370337.85855031,86818947.5304648,69413163.87641042
5,Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,22,All ages,567,Depressive disorders,2,Percent,2021,0.0368460164498944,0.0412663083646599,0.033059786329784
5,Prevalence,4,"Southeast Asia, East Asia, and Oceania",3,Both,22,All ages,567,Depressive disorders,3,Rate,2021,3540.9648834057602,3973.3941059125,3176.79336209976
5,Prevalence,23,Kiribati,3,Both,22,All ages,567,Depressive disorders,1,Number,2021,3454.0693459940635,4198.234698439502,2828.849351529372
5,Prevalence,23,Kiribati,3,Both,22,All ages,567,Depressive disorders,2,Percent,2021,0.0291418855828319,0.0353954755702516,0.0238925782053529
5,Prevalence,23,Kiribati,3,Both,22,All ages,567,Depressive disorders,3,Rate,2021,2850.81017930074,3465.00576987127,2334.78593485717
5,Prevalence,22,Fiji,3,Both,22,All ages,567,Depressive disorders,1,Number,2021,29795.18414397945,36462.34782431639,24552.9206321987
5,Prevalence,22,Fiji,3,Both,22,All ages,567,Depressive disorders,2,Percent,2021,0.0332694326182059,0.040632269797583,0.0273929425772394
5,Prevalence,22,Fiji,3,Both,22,All ages,567,Depressive disorders,3,Rate,2021,3222.9337587298796,3944.11832320514,2655.88010460135
5,Prevalence,20,Viet Nam,3,Both,22,All ages,567,Depressive disorders,1,Number,2021,2935091.796016135,3522608.092792696,2422691.431227816
5,Prevalence,20,Viet Nam,3,Both,22,All ages,567,Depressive disorders,2,Percent,2021,0.0303626102431411,0.0363224379431246,0.0250886703719107
5,Prevalence,20,Viet Nam,3,Both,22,All ages,567,Depressive disorders,3,Rate,2021,2927.2510293987702,3513.1978426678097,2416.2194843796997
5,Prevalence,21,Oceania,3,Both,22,All ages,567,Depressive disorders,1,Number,2021,389989.2097218858,473262.228134583,320663.5215650203
5,Prevalence,21,Oceania,3,Both,22,All ages,567,Depressive disorders,2,Percent,2021,0.0286792941571053,0.0348589047940354,0.0236430559686205
5,Prevalence,21,Oceania,3,Both,22,All ages,567,Depressive disorders,3,Rate,2021,2800.1222911253,3398.0225132185396,2302.36389187607
5,Prevalence,39,Tajikistan,3,Both,22,All ages,567,Depressive disorders,1,Number,2021,302516.7982378386,373322.9716116133,245784.72993186105
5,Prevalence,39,Tajikistan,3,Both,22,All ages,567,Depressive disorders,2,Percent,2021,0.031265170441407,0.0386530249339559,0.0254294010214892
5,Prevalence,39,Tajikistan,3,Both,22,All ages,567,Depressive disorders,3,Rate,2021,2977.54449574879,3674.45961921365,2419.15481722224
5,Prevalence,38,Mongolia,3,Both,22,All ages,567,Depressive disorders,1,Number,2021,136589.87562912135,170856.79345138284,111793.1279232978
5,Prevalence,38,Mongolia,3,Both,22,All ages,567,Depressive disorders,2,Percent,2021,0.0431418965513365,0.0540362062121966,0.0352235045482506
5,Prevalence,38,Mongolia,3,Both,22,All ages,567,Depressive disorders,3,Rate,2021,4094.06126304043,5121.156867408929,3350.81873672426
5,Prevalence,19,Timor-Leste,3,Both,22,All ages,567,Depressive disorders,1,Number,2021,37193.89628268306,45563.9449104759,29870.051271019205
