,Entity,"Proportion that talked to friends or family
when anxious/depressed (%)","Proportion that took prescribed medication
when anxious/depressed (%)","Proportion that engaged in religious/spiritual activities
when anxious/depressed (%)","Total number of psychiatrists per 100,000 population","Proportion of people very comfortable
speaking about anxiety/depression (%)","Proportion of people somewhat comfortable
speaking about anxiety/depression (%)","Proportion of people that don't know how comfortable they are
speaking about anxiety/depression (%)","Proportion of people not comfortable
speaking about anxiety/depression (%)","Proportion of people very or somewhat comfortable
speaking about anxiety/depression (%)",Share - Question: mh3b - How much science helps to treat anxiety or depression - Answer: A lot - Gender: all - Age group: all,"GDP per capita, PPP (constant 2017 international $)",Population (historical),World regions according to OWID,location_name,Proportion of people that are depressed (%),country,Individualism Score in 2023,IndividualismScore_2022
0,Albania,86.524994,40.897434,36.1776,,25.491678,38.33448,8.599926,27.573915,63.826158,,14596.016,2849643.0,,Albania,3.6641771649087898,Albania,27.0,20
1,Argentina,71.9629,37.718056,48.529037,,26.543772,42.311417,4.810892,26.33392,68.855189,,21599.797,45312283.0,,Argentina,3.54252801104534,Argentina,51.0,46
2,Australia,83.661896,71.37634,19.388412,,7.19499,60.27446,1.7620422,30.768505,67.46945,,49609.23,25956416.0,,Australia,5.43895026422076,Australia,73.0,90
3,Austria,87.92614,57.572258,33.628178,,47.740067,35.55934,4.501344,12.19925,83.299407,,53817.305,8967053.0,,Austria,4.31843446224189,Austria,77.0,55
4,Bangladesh,65.628235,18.87141,46.563572,,26.184614,30.662405,29.255962,13.897019,56.847019,,5911.013,167658855.0,,Bangladesh,5.5305400157654105,Bangladesh,5.0,20
5,Belgium,76.020325,64.07484,14.50429,,11.0023155,35.729443,5.813142,47.4551,46.7317585,,52174.906,11570842.0,,Belgium,5.0642177868043206,Belgium,81.0,75
6,Bolivia,81.56846,41.01212,47.506245,0.0,19.951153,47.748497,5.5585666,26.741785,67.69965,,8052.6,11937369.0,,Bolivia,4.35639386530364,Bolivia,23.0,10
7,Bosnia and Herzegovina,89.42567,62.897697,38.396427,,12.805407,35.223564,6.1885567,45.78247,48.028971,,15893.156,3244909.0,,Bosnia and Herzegovina,4.44247890658139,Bosnia and Herzegovina,40.0,22
8,Brazil,71.42405,44.71939,53.729458,,27.168146,44.37738,1.0116584,27.442812,71.545526,,14735.582,209550291.0,,Brazil,4.97080346618358,Brazil,36.0,38
9,Bulgaria,85.093575,41.78128,6.6898265,,19.051838,42.100044,8.420335,30.427782,61.151882,,24386.18,6877222.0,,Bulgaria,4.69967609524312,Bulgaria,50.0,30
