,Unnamed: 0,Entity,Code,Year,Share - Question: mh3b - How much science helps to treat anxiety or depression - Answer: A lot - Gender: all - Age group: all,"GDP per capita, PPP (constant 2017 international $)",Population (historical),World regions according to OWID
19,19,Afghanistan,AFG,2021,,1516.2733,40000411.0,
523,523,Africa,,2021,,,1413753270.0,
597,597,Africa (UN),,2021,,,1413753053.0,
635,635,Albania,ALB,2021,,14596.016,2849643.0,
896,896,Algeria,DZA,2021,,11029.139,44761101.0,
1239,1239,American Samoa,ASM,2021,,,49248.0,
1313,1313,Americas (UN),,2021,,,1029207261.0,
1574,1574,Andorra,AND,2021,,,78375.0,
1608,1608,Angola,AGO,2021,,5911.8354,34532427.0,
1958,1958,Anguilla,AIA,2021,,,14503.0,
1992,1992,Antigua and Barbuda,ATG,2021,,20501.162,92358.0,
2253,2253,Argentina,ARG,2021,,21599.797,45312283.0,
2514,2514,Armenia,ARM,2021,,14206.545,2870339.0,
2775,2775,Aruba,ABW,2021,,37333.516,107565.0,
3114,3114,Asia,,2021,,,4716999175.0,
3188,3188,Asia (UN),,2021,,,4718316356.0,
3314,3314,Asia (excl. China and India),,2021,,,1806393856.0,
3348,3348,Australia,AUS,2021,,49609.23,25956416.0,
3609,3609,Austria,AUT,2021,,53817.305,8967053.0,
3871,3871,Azerbaijan,AZE,2021,,14433.904,10234373.0,
4132,4132,Bahamas,BHS,2021,,30463.084,396381.0,
4392,4392,Bahrain,BHR,2021,,49754.047,1501762.0,
4653,4653,Bangladesh,BGD,2021,,5911.013,167658855.0,
4914,4914,Barbados,BRB,2021,,13869.242,282156.0,
5167,5167,Belarus,BLR,2021,,19872.693,9251367.0,
5428,5428,Belgium,BEL,2021,,52174.906,11570842.0,
5689,5689,Belize,BLZ,2021,,8826.859,395356.0,
5950,5950,Benin,BEN,2021,,3321.552,13413423.0,
6211,6211,Bermuda,BMU,2021,,78570.49,64672.0,
6301,6301,Bhutan,BTN,2021,,11595.684,775451.0,
6562,6562,Bolivia,BOL,2021,,8052.6,11937369.0,
6863,6863,Bonaire Sint Eustatius and Saba,BES,2021,,,27346.0,
6893,6893,Bosnia and Herzegovina,BIH,2021,,15893.156,3244909.0,
7158,7158,Botswana,BWA,2021,,14906.897,2401449.0,
7419,7419,Brazil,BRA,2021,,14735.582,209550291.0,
7730,7730,British Virgin Islands,VGB,2021,,,37833.0,
7764,7764,Brunei,BRN,2021,,60127.023,451723.0,
8025,8025,Bulgaria,BGR,2021,,24386.18,6877222.0,
8286,8286,Burkina Faso,BFA,2021,,2176.0933,21995249.0,
8547,8547,Burundi,BDI,2021,,714.0667,12965487.0,
8805,8805,Cambodia,KHM,2021,,4354.5654,16974308.0,
9069,9069,Cameroon,CMR,2021,,3689.359,26915764.0,
9330,9330,Canada,CAN,2021,,48356.332,38454058.0,
9591,9591,Cape Verde,CPV,2021,,6356.745,516655.0,
9810,9810,Cayman Islands,CYM,2021,,69400.67,70126.0,
9906,9906,Central African Republic,CAF,2021,,838.19293,5112102.0,
10167,10167,Chad,TCD,2021,,1425.4945,17828274.0,
10428,10428,Chile,CHL,2021,,25412.752,19456323.0,
10689,10689,China,CHN,2021,,17657.656,1426437276.0,
10952,10952,Colombia,COL,2021,,14661.213,51188174.0,
11213,11213,Comoros,COM,2021,,3228.5269,818178.0,
11455,11455,Congo,COG,2021,,3700.27,5892186.0,
11769,11769,Cook Islands,COK,2021,,,15204.0,
11803,11803,Costa Rica,CRI,2021,,21220.162,5059992.0,
12064,12064,Cote d'Ivoire,CIV,2021,,5316.464,29639735.0,
12320,12320,Croatia,HRV,2021,,32060.504,3924607.0,
12813,12813,Cuba,CUB,2021,,,11122169.0,
12837,12837,Curacao,CUW,2021,,21090.889,185324.0,
12921,12921,Cyprus,CYP,2021,,43417.27,1317312.0,
13182,13182,Czechia,CZE,2021,,40744.457,10530683.0,
13528,13528,Democratic Republic of Congo,COD,2021,,1073.6433,99148931.0,
13790,13790,Denmark,DNK,2021,,58802.96,5856773.0,
14028,14028,Djibouti,DJI,2021,,4905.192,1121251.0,
14312,14312,Dominica,DMA,2021,,10899.414,67223.0,
14568,14568,Dominican Republic,DOM,2021,,18626.078,11123480.0,
14831,14831,East Asia and Pacific (WB),,2021,,18645.273,,
14863,14863,East Timor,TLS,2021,,5038.926,1350142.0,
15134,15134,Ecuador,ECU,2021,,10668.758,17682454.0,
15395,15395,Egypt,EGY,2021,,12180.451,110957004.0,
15656,15656,El Salvador,SLV,2021,,9190.174,6255781.0,
15917,15917,Equatorial Guinea,GNQ,2021,,14730.601,1758796.0,
16405,16405,Eritrea,ERI,2021,,,3350184.0,
16434,16434,Estonia,EST,2021,,38717.695,1331750.0,
16700,16700,Eswatini,SWZ,2021,,9086.701,1206599.0,
16961,16961,Ethiopia,ETH,2021,,2319.1611,122138590.0,
17502,17502,Europe,,2021,,,749931027.0,
17576,17576,Europe (UN),,2021,,,748613503.0,
17702,17702,Europe (excl. Russia),,2021,,,607809728.0,
17736,17736,Europe and Central Asia (WB),,2021,,35683.46,,
17769,17769,European Union (27),,2021,,44410.605,447705923.0,
18101,18101,Falkland Islands,FLK,2021,,,3524.0,
18227,18227,Faroe Islands,FRO,2021,,,53324.0,
18262,18262,Fiji,FJI,2021,,10379.567,916717.0,
18514,18514,Finland,FIN,2021,,48614.82,5541068.0,
18775,18775,France,FRA,2021,,44941.438,66083547.0,
