,Entity,Code,Year,share__question_mh5__someone_local_comfortable_speaking_about_anxiety_depression_with_someone_they_know__answer_very_comfortable__gender_all__age_group_all,share__question_mh5__someone_local_comfortable_speaking_about_anxiety_depression_with_someone_they_know__answer_somewhat_comfortable__gender_all__age_group_all,share__question_mh5__someone_local_comfortable_speaking_about_anxiety_depression_with_someone_they_know__answer_dont_know_refused__gender_all__age_group_all,share__question_mh5__someone_local_comfortable_speaking_about_anxiety_depression_with_someone_they_know__answer_not_at_all_comfortable__gender_all__age_group_all,very_comfortable and somewhat_comfortable
0,Africa,,2020,31.021803,34.817074,7.5300813,26.631048,65.838877
1,Albania,ALB,2020,25.491678,38.33448,8.599926,27.573915,63.826158
2,Algeria,DZA,2020,31.641382,46.207172,10.747551,11.403895,77.848554
3,Argentina,ARG,2020,26.543772,42.311417,4.810892,26.33392,68.855189
4,Asia,,2020,24.826124,32.63312,16.01825,26.5225,57.459244
5,Australia,AUS,2020,7.19499,60.27446,1.7620422,30.768505,67.46945
6,Austria,AUT,2020,47.740067,35.55934,4.501344,12.19925,83.299407
7,Bahrain,BHR,2020,43.191044,41.618427,4.2164454,10.974083,84.809471
8,Bangladesh,BGD,2020,26.184614,30.662405,29.255962,13.897019,56.847019
9,Belgium,BEL,2020,11.0023155,35.729443,5.813142,47.4551,46.7317585
10,Benin,BEN,2020,12.114276,26.099257,11.979602,49.806866,38.213533
11,Bolivia,BOL,2020,19.951153,47.748497,5.5585666,26.741785,67.69965
12,Bosnia and Herzegovina,BIH,2020,12.805407,35.223564,6.1885567,45.78247,48.028971
13,Brazil,BRA,2020,27.168146,44.37738,1.0116584,27.442812,71.545526
14,Bulgaria,BGR,2020,19.051838,42.100044,8.420335,30.427782,61.151882
15,Burkina Faso,BFA,2020,26.533657,33.821262,7.5133395,32.131737,60.354919
16,Cambodia,KHM,2020,15.366249,42.148834,16.697548,25.787365,57.515083
17,Cameroon,CMR,2020,20.092508,35.24113,2.9742935,41.692066,55.333638
18,Canada,CAN,2020,8.873781,59.53319,1.4324862,30.16054,68.406971
19,Chile,CHL,2020,24.403812,41.044777,2.829471,31.721937,65.448589
20,China,CHN,2020,10.248862,32.990505,23.759699,33.000927,43.239367
21,Colombia,COL,2020,21.957514,44.340546,2.1919575,31.50998,66.29806
22,Congo,COG,2020,27.280973,31.17381,7.6709075,33.87431,58.454783
23,Costa Rica,CRI,2020,25.011768,40.742714,2.9199054,31.325611,65.754482
24,Cote d'Ivoire,CIV,2020,22.773167,23.682457,15.265173,38.2792,46.455624
25,Croatia,HRV,2020,20.000946,39.289368,8.268511,32.441177,59.290314
26,Cyprus,CYP,2020,10.929355,42.750988,2.8587756,43.460884,53.680343
27,Czechia,CZE,2020,13.284608,49.504528,6.707121,30.503748,62.789136
28,Denmark,DNK,2020,15.279755,53.21566,1.9319359,29.572647,68.495415
29,Dominican Republic,DOM,2020,22.711874,41.83298,1.902687,33.552456,64.544854
30,Ecuador,ECU,2020,21.694708,51.929554,2.2164602,24.159279,73.624262
31,Egypt,EGY,2020,56.098743,32.31345,4.5185595,7.0692477,88.412193
32,El Salvador,SLV,2020,22.299795,41.450153,5.548545,30.70151,63.749948
33,Estonia,EST,2020,4.61636,28.410734,8.194784,58.77812,33.027094
34,Ethiopia,ETH,2020,44.583668,34.304302,2.9142156,18.197817,78.88797
35,Europe,,2020,19.050577,43.982693,4.9379644,32.028767,63.03327
36,Finland,FIN,2020,6.6289506,40.220234,0.7109857,52.43983,46.8491846
37,France,FRA,2020,12.134365,31.055502,2.251463,54.558666,43.189867
38,Gabon,GAB,2020,25.64844,34.444115,13.658207,26.249239,60.092555
39,Georgia,GEO,2020,21.63062,43.36877,3.8785007,31.122108,64.99939
40,Germany,DEU,2020,49.547153,34.67734,5.970273,9.805233,84.224493
41,Ghana,GHA,2020,14.284058,27.730698,11.936557,46.048683,42.014756
42,Greece,GRC,2020,8.805214,38.586918,2.5855963,50.022278,47.392132
43,Guinea,GIN,2020,20.85,26.78958,14.348392,38.012028,47.63958
44,High-income countries,,2020,15.034522,47.28494,3.7056434,33.974895,62.319462
45,Hong Kong,HKG,2020,6.4663973,39.715008,0.7346818,53.083908,46.1814053
46,Hungary,HUN,2020,16.0622,35.247345,6.482549,42.20791,51.309545
47,India,IND,2020,42.248962,26.26446,14.759226,16.727356,68.513422
48,Indonesia,IDN,2020,26.980623,35.100544,5.296107,32.622726,62.081167
49,Iran,IRN,2020,28.924173,53.184757,3.468234,14.422836,82.10893
50,Iraq,IRQ,2020,58.25895,29.698221,2.727997,9.31483,87.957171
51,Ireland,IRL,2020,9.812321,57.44538,2.0887282,30.653572,67.257701
52,Israel,ISR,2020,11.779242,34.33756,23.16233,30.72087,46.116802
53,Italy,ITA,2020,21.366873,49.30796,2.8994777,26.42569,70.674833
54,Japan,JPN,2020,2.7134778,43.949223,6.2198973,47.1174,46.6627008
55,Jordan,JOR,2020,60.667377,29.815338,2.492077,7.025207,90.482715
56,Kazakhstan,KAZ,2020,21.04929,44.70737,12.816702,21.426638,65.75666
57,Kenya,KEN,2020,31.118677,34.414005,0.95247984,33.51484,65.532682
58,Kosovo,OWID_KOS,2020,24.117756,42.808567,7.7800303,25.293646,66.926323
59,Kyrgyzstan,KGZ,2020,34.736515,41.26925,9.878975,14.115259,76.005765
60,Laos,LAO,2020,56.50934,17.135792,12.733547,13.621325,73.645132
61,Latvia,LVA,2020,8.102485,32.954327,14.410187,44.533005,41.056812
62,Lebanon,LBN,2020,33.557354,37.092125,11.269763,18.080757,70.649479
63,Lithuania,LTU,2020,8.994,20.267313,34.349735,36.388954,29.261313
64,Low-income countries,,2020,36.88069,34.688225,6.0286746,22.40241,71.568915
65,Lower-middle-income countries,,2020,34.85157,31.863083,11.898707,21.386637,66.714653
66,Malaysia,MYS,2020,14.158347,41.80394,4.753365,39.284344,55.962287
67,Mali,MLI,2020,36.223072,38.66897,3.957876,21.150087,74.892042
68,Malta,MLT,2020,15.609123,34.112934,6.135066,44.14287,49.722057
69,Mauritius,MUS,2020,37.353085,35.597786,1.540091,25.509037,72.950871
70,Mexico,MEX,2020,19.028091,45.827972,2.9254713,32.218464,64.856063
71,Moldova,MDA,2020,15.799915,36.672848,8.36175,39.16549,52.472763
